[BEGIN] 2023/4/5 21:32:55
72 processes; 356 threads;
CPU states: 78.5% user, 8.3% kernel
CPU  0 Idle: 13.3%
CPU  1 Idle: 12.7%
Memory: 3596M total, 887M avail, page size 4K

   TS          PID PRI STATE    HH:MM:SS    CPU    LASTCPU               COMMAND THREAD_NAME  
13:32:55    512021  30 Rcv       0:00:00   0.17%      1                   screen screen-msg(9)
13:32:55    573471  20 Rply      0:00:01   0.16%      1 vx_desay_capture_display_csitx_front_view.out 2
13:32:55    573470  19 NSlp      0:00:01   0.16%      1          ErrorManagement 2
13:32:55   1179701  10 SigW      0:00:01   0.16%      1              monitor_cmw 3
13:32:55   1228863  10 Rply      0:00:00   0.16%      1                   mv_psd 2
13:32:55    995384  12 SigW      0:00:01   0.15%      0 srv_multitask_parking_app_cmw ppsrec_601(8)
13:32:55    995382  10 SigW      0:00:01   0.14%      1    vision_od_pps_app_cmw 1
13:32:55    933934  10 SigW      0:00:01   0.14%      0      parking_manager_cmw 10
13:32:55   1069105  10 SigW      0:00:00   0.13%      0 parkingslot_park_cmw_app 2
13:32:55    995384  10 SigW      0:00:01   0.12%      0 srv_multitask_parking_app_cmw 1
13:32:55    512021 255 CdV       0:00:00   0.12%      1                   screen csitx_tx_thread(4)
13:32:55   1196090  10 NSlp      0:00:00   0.12%      0                mv_fusion 3
13:32:55    725024  10 Rply      0:00:00   0.11%      0                   mv_avm 2
13:32:55    512021 255 Rcv       0:00:00   0.11%      0                   screen j7_isr_thread(2)
13:32:55   1228863  10 NSlp      0:00:00   0.10%      0                   mv_psd DrDataRecvHandler(12)
13:32:55    725024  10 NSlp      0:00:00   0.10%      0                   mv_avm MvAvmProcessHandler(8)
13:32:55    512021  10 Rdy       0:00:00   0.10%      1                   screen pvr_cacheop(15)
13:32:55    512021  10 Rdy       0:00:00   0.09%      1                   screen pvr_defer_free(6)
13:32:55    725024  10 NSlp      0:00:00   0.09%      1                   mv_avm DrDataRecvHandler(13)
13:32:55    995382  12 SigW      0:00:00   0.09%      0    vision_od_pps_app_cmw ppsrec_440(7)
13:32:55    725024  10 NSlp      0:00:00   0.09%      1                   mv_avm PsdDataHandler(17)
13:32:55   1196096  10 NSlp      0:00:00   0.09%      0              mv_decision 4
13:32:55         1  21 Rcv       0:00:09   0.09%      0                   kernel 18
13:32:55    995378  10 SigW      0:00:01   0.09%      1 obstacle_fusion_parking_app_cmw 1
13:32:55    512021  10 Rdy       0:00:00   0.09%      1                   screen pvr_device_wdg(14)
13:32:55   1085491  10 NSlp      0:00:00   0.08%      0                vslam_cmw VslamStatusFeedbackThread(3)
13:32:55    995380  10 SigW      0:00:00   0.07%      1    vision_fd_pps_app_cmw 3
13:32:55   1085500  12 SigW      0:00:00   0.07%      1    calibration_adapt_app ppsrec_161(2)
13:32:55    995376  10 NSlp      0:00:00   0.07%      0    navigator_parking_cmw 3
13:32:55    725024  10 NSlp      0:00:00   0.07%      0                   mv_avm MvApaStateEventHandler(15)
13:32:55    995375  12 SigW      0:00:00   0.07%      1 path_optimization_hpp_app ppsrec_100(3)
13:32:55    995376  12 SigW      0:00:00   0.06%      1    navigator_parking_cmw ppsrec_120(2)
13:32:55   1085499  12 SigW      0:00:00   0.06%      1 vision_fc_arrow_pps_app_cmw ppsrec_440(7)
13:32:55   1085491  12 SigW      0:00:00   0.06%      1                vslam_cmw ppsrec_100(4)
13:32:55   1085499  10 SigW      0:00:00   0.05%      0 vision_fc_arrow_pps_app_cmw 1
13:32:55    995380  12 SigW      0:00:00   0.05%      0    vision_fd_pps_app_cmw ppsrec_100(9)
13:32:55   1228863  10 NSlp      0:00:00   0.04%      0                   mv_psd 18
13:32:55    933934  10 SigW      0:00:00   0.04%      0      parking_manager_cmw 11
13:32:55    995372  30 Rply      0:00:00   0.03%      1             renderer_app buffer-swap-thread(6)
13:32:55         1  20 Rcv       0:00:06   0.03%      0                   kernel 16
13:32:55    995378  10 SigW      0:00:00   0.03%      1 obstacle_fusion_parking_app_cmw 2
13:32:55    725024  10 NSlp      0:00:00   0.03%      0                   mv_avm 16
13:32:55    995372  30 CdV       0:00:00   0.02%      1             renderer_app buffer-swap-thread(5)
13:32:55    512021  10 WtTr      0:00:00   0.02%      0                   screen 23
13:32:55         3  10 Rcv       0:00:00   0.02%      0                     pipe 4
13:32:55   1228863  30 Rply      0:00:00   0.02%      1                   mv_psd buffer-swap-thread(13)
