Computing times...49 processes; 199 threads;
CPU states: 3.6% user, 0.7% kernel
CPU  0 Idle: 94.7%
CPU  1 Idle: 96.5%
Memory: 3596M total, 2036M avail, page size 4K

   TS          PID PRI STATE    HH:MM:SS    CPU    LASTCPU               COMMAND THREAD_NAME  
16:07:00    725025  10 SigW      0:00:00   0.00%      0                   screen screen-monitor(1)
16:07:00    770088  10 SigW      0:00:00   0.00%      1            gac_calib_mgt 1
16:07:00    569372  19 SigW      0:00:00   0.00%      0          ErrorManagement 1
16:07:00    790570  10 Rply      0:00:00   0.00%      0                       sh 1
16:07:00    729124  10 Dead      0:00:00   0.00%      1      avm3d_gui_A58_V1.57 9
16:07:00    888882  10 SigS      0:00:00   0.00%      1                       sh 1
16:07:00    725025  10 Rcv       0:00:00   0.00%      0                   screen pvrsrv(7)
16:07:00    512009  21 SigW      0:00:00   0.00%      0             io-pkt-v4-hc io-pkt_main(1)
16:07:00         1  10 Rcv       0:00:00   0.00%      1                   kernel 3
16:07:00      8198  10 SigW      0:00:00   0.00%      1         devb-sdmmc-am65x xpt_signal_handler(1)
16:07:00     12296  10 Rply      0:00:00   0.00%      0                    login 1
16:07:00      4100  10 SigW      0:00:00   0.00%      0                   random Signal_Thread(1)
16:07:00    700447  10 SigW      0:00:00   0.00%      0                     sshd 1
16:07:00    438283  19 Rcv       0:00:00   0.00%      0               tiudma-mgr 1
16:07:00    544781  10 Rcv       0:00:00   0.00%      0                      slm resmgr_process(1)
16:07:00    770087  10 Rply      0:00:00   0.00%      1           ioTSecuSrv0928 2
16:07:00    565270  10 Rply      0:00:00   0.00%      0                   mtouch main(1)
16:07:00    565274  10 SigW      0:00:00   0.00%      1                  syslogd 1
16:07:00      4100  10 Rcv       0:00:00   0.00%      0                   random Resmgr_Thread(3)
16:07:00    757778 255 Rcv       0:00:00   0.00%      0                   dumper 1
16:07:00    565273  10 SigW      0:00:00   0.00%      0                   io-hid 1
16:07:00         1  10 Rcv       0:00:00   0.00%      1                   kernel 19
16:07:00    725025  15 CdV       0:00:00   0.00%      1                   screen screen-dpy-1(5)
16:07:00    872495  10 SigS      0:00:00   0.00%      1                       sh 1
16:07:00    856108  10 SigS      0:00:00   0.00%      1                       sh 1
16:07:00    565271  10 Rcv       0:00:00   0.00%      1                   mqueue 1
16:07:00    725025  10 Rcv       0:00:00   0.00%      0                   screen screen-msg(12)
16:07:00    643099  21 Rcv       0:00:00   0.00%      1               io-usb-otg usbdi_resmgr(5)
16:07:00     12295  10 SigW      0:00:00   0.00%      0         devb-sdmmc-am65x xpt_signal_handler(1)
16:07:00    757797  10 Rcv       0:00:00   0.00%      0                      ham 1
16:07:00    438283  15 Rcv       0:00:00   0.00%      0               tiudma-mgr 4
16:07:00    213007  10 Rcv       0:00:00   0.00%      0           shmemallocator 2
16:07:00      4100  10 NSlp      0:00:00   0.00%      0                   random Timer_Thread(2)
16:07:00         3  10 SigW      0:00:00   0.00%      0                     pipe 1
16:07:00    761888  10 SigS      0:00:00   0.00%      0                      ksh 1
16:07:00         3  10 Rcv       0:00:00   0.00%      1                     pipe 2
16:07:00    213007  10 SigW      0:00:00   0.00%      1           shmemallocator 1
16:07:00    761894  10 SigS      0:00:00   0.00%      0                      ksh 1
16:07:00    725025  30 Rcv       0:00:00   0.00%      1                   screen pvrsrv_msg_handler(20)
16:07:00      4100  10 Rcv       0:00:00   0.00%      0                   random Seed_Save_Thread(4)
16:07:00    512009  21 Rcv       0:00:00   0.00%      0             io-pkt-v4-hc 5
16:07:00    757795 255 Rcv       0:00:00   0.00%      0                      ham 3
16:07:00    729124  10 Rply      0:00:00   0.00%      0      avm3d_gui_A58_V1.57 QQnxScreenEventThread(3)
16:07:00    565274  10 Rcv       0:00:00   0.00%      1                  syslogd 3
16:07:00    565270  10 Rcv       0:00:00   0.00%      0                   mtouch atmel_mxt-tp(2)
16:07:00    229392  20 Rcv       0:00:00   0.00%      1                tiipc-mgr 8
16:07:00    229392  21 Sem       0:00:00   0.00%      1                tiipc-mgr 6
16:07:00    725025  20 Rcv       0:00:00   0.00%      0                   screen pvrsrv_pulse_misr_handler(16)
16:07:00    229392  21 Sem       0:00:00   0.00%      0                tiipc-mgr 5
16:07:00    729124  30 CdV       0:00:00   0.00%      0      avm3d_gui_A58_V1.57 buffer-swap-thread(8)
16:07:00    729124  10 Rply      0:00:00   0.00%      0      avm3d_gui_A58_V1.57 5
16:07:00    643099  10 Rcv       0:00:00   0.00%      0               io-usb-otg port_monitor(7)
16:07:00    512009  21 Sem       0:00:00   0.00%      0             io-pkt-v4-hc 9
16:07:00    725025 250 Intr      0:00:00   0.00%      0                   screen 19
16:07:00    643099  10 CdV       0:00:00   0.00%      1               io-usb-otg hub_1(3)
16:07:00    512009  21 Rply      0:00:00   0.00%      0             io-pkt-v4-hc 8
16:07:00    565273  10 Rcv       0:00:00   0.00%      0                   io-hid 3
16:07:00    725025  10 CdV       0:00:00   0.00%      1                   screen pvr_defer_free(6)
16:07:00    565274  10 Rcv       0:00:00   0.00%      1                  syslogd 2
16:07:00    565274  10 Rcv       0:00:00   0.00%      1                  syslogd 5
16:07:00    757795  10 Rcv       0:00:00   0.00%      0                      ham 7
16:07:00    512009  21 Dead      0:00:00   0.00%      0             io-pkt-v4-hc 7
